OBJECTID,CSA2010,hhchpov14,hhchpov15,hhchpov16,hhchpov17,hhchpov18,hhchpov19,CSA2020,hhchpov20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,41.54913812,38.93148652,34.72782258,32.77052955,35.27379054,32.6016019,Allendale/Irvington/S. Hilton,21.41560799,63770461.78,38770.16557
2,Beechfield/Ten Hills/West Hills,22.30938186,19.41689209,21.22084653,23.91675196,21.90410486,15.38461538,Beechfield/Ten Hills/West Hills,14.77192982,47882527.71,37524.95053
3,Belair-Edison,36.92907964,36.88254665,36.12698413,34.55562461,39.73575232,41.03884954,Belair-Edison,31.75765646,44950030.47,31307.31484
4,Brooklyn/Curtis Bay/Hawkins Point,46.94369973,45.0088006,46.44750795,46.40995947,39.89175422,41.38847858,Brooklyn/Curtis Bay/Hawkins Point,51.32275132,176077742.7,150987.7036
5,Canton,6.52173913,5.490848586,2.994011976,4.017216643,4.608938547,4.834254144,Canton,4.130162703,15408538.22,23338.61195
6,Cedonia/Frankford,25.95014303,23.34548245,20.57453416,19.96381182,15.52964043,17.90564689,Cedonia/Frankford,23.88888889,71541340.31,39962.54983
7,Cherry Hill,53.7254902,62.51572327,60.91836735,56.78796361,58.82352941,58.08019441,Cherry Hill,51.21794872,29144181.35,22305.30207
8,Chinquapin Park/Belvedere,24.29543246,16.4938737,18.15446339,23.1621937,12.37623762,11.68316832,Chinquapin Park/Belvedere,17.24363161,21022590.13,21705.41163
9,Claremont/Armistead,27.56214566,32.88309269,34.49251921,34.61538462,33.53825137,31.84488837,Orchard Ridge/Armistead,32.62541194,61243774.42,40104.41598
10,Clifton-Berea,45.36023055,34.93227991,47.57986447,47.9245283,50.10405827,39.65429588,Clifton-Berea,33.82807669,23285233.93,24022.76462
11,Cross-Country/Cheswolde,12.17301217,10.34222446,9.850668064,13.02545885,15.06006446,15.15237824,Cross-Country/Cheswolde,6.005147269,38222018.32,26788.30188
12,Dickeyville/Franklintown,31.32880698,28.86100386,29.82885086,34.45190157,20.46568627,12.34866828,Dickeyville/Franklintown,17.72665765,35719112.41,31637.81742
13,Dorchester/Ashburton,32.49351612,34.59698197,37.87387387,43.49276974,37.67914933,35.00215796,Dorchester/Ashburton,30.28972783,34118277.18,27136.07571
14,Downtown/Seton Hill,39.7515528,11.66666667,13.07901907,13.37209302,8.074534161,6.169296987,Downtown/Seton Hill,22.39263804,20736554.41,21565.85939
15,Edmondson Village,51.85950413,40.46906188,27.28776185,25.28059861,23.53610006,21.62464986,Edmondson Village,27.37262737,23563061.04,21504.55136
16,Fells Point,12.65969803,13.19648094,6.785714286,7.336343115,11.25628141,8.425720621,Fells Point,4.335664336,12620515.72,27670.16992
17,Forest Park/Walbrook,44.04827208,46.38522427,44.33081369,47.65041722,40.46391753,37.65938069,Forest Park/Walbrook,23.82855067,37200535.03,36886.89978
18,Glen-Fallstaff,21.02689487,27.51297782,30.68154833,27.40064182,26.23030303,28.94534257,Glen-Fallstaff,26.38204707,46995477.48,48549.00462
19,Greater Charles Village/Barclay,42.43261921,42.04805492,44.96873223,40.36923077,33.08007013,25.60909583,Greater Charles Village/Barclay,25.0533049,27051213.46,26454.26921
20,Greater Govans,31.41467369,39.08,42.55125285,47.2407045,44.28684003,46.45308924,Greater Govans,41.28324187,22698495.72,22982.12571
21,Greater Mondawmin,30.51771117,28.57142857,28.76712329,37.4691358,45.76399395,44.15204678,Greater Mondawmin,34.57688808,33663448.28,31136.73189
22,Greater Roland Park/Poplar Hill,5.345060893,7.652733119,8.474576271,3.79241517,2.800546448,2.256186317,Greater Roland Park/Poplar Hill,0,56688145.18,39862.7498
23,Greater Rosemont,43.14173743,43.86013216,46.37832204,43.24662331,47.00222058,46.7728646,Greater Rosemont,32.72019809,42204384.54,32559.07622
24,Greenmount East,29.60858586,37.70578864,38.25301205,36.44773358,39.01156677,45.65782631,Oliver/Johnson Square,44.11203055,19072287.82,20797.47346
25,Hamilton,13.89153187,13.20182094,15.76281287,13.0777903,7.554379777,6.794589494,Hamilton,1.907267346,45191100.56,27712.11109
26,Harbor East/Little Italy,56.84128225,48.87278583,40.18099548,33.36457357,33.40292276,32.80363224,Harbor East/Little Italy,34.7826087,10215859.08,18552.40758
27,Harford/Echodale,22.12177612,17.11711712,18.54915686,18.23064771,14.36464088,9.240099893,Hamilton Hills,8.480894688,65360039.17,40019.1854
28,Highlandtown,42.5549227,15.20572451,21.19771863,14.61067367,15.15151515,21.97580645,Highlandtown,27.01092354,11684191.12,14976.12385
29,Howard Park/West Arlington,35.50524572,30.99447514,33.41000575,21.64477441,18.33423472,18.68070953,Howard Park/West Arlington,12.77173913,63262430.07,36034.49845
30,Inner Harbor/Federal Hill,9.238776838,18.12903226,9.171597633,8.212927757,7.267645003,7.024169184,Inner Harbor/Federal Hill,4.151223128,24995836.26,43415.05955
31,Lauraville,12.67857143,14.863103,16.02699283,16.56165617,11.57850895,13.77721943,Greater Lauraville,11.48569189,49665744.24,34419.67653
32,Loch Raven,25.45300113,17.32262383,17.1979641,6.473641082,12.10481344,17.23916533,Loch Raven,13.09489472,44147812.33,29314.33467
33,Madison/East End,52.15707965,59.30451128,58.77398222,56.12565445,55.32940546,55.86432366,Madison/East End,49.93689525,8897845.192,13120.15872
34,Medfield/Hampden/Woodberry/Remington,16.30901288,14.4211774,11.31279021,8.452088452,6.997971602,6.446700508,Hampden/Remington,6.650544135,62441489.24,43152.6257
35,Midtown,17.1641791,8.195020747,18,16.19156214,11.94581281,13.17204301,Midtown,19.44106926,23823949.93,25020.09697
36,Midway/Coldstream,42.6071741,48.24096386,44.50113379,49.33616569,40.83063646,35.83420776,Midway/Coldstream,33.13868613,17884471.29,22767.82742
37,Morrell Park/Violetville,17.03026038,13.08474576,17.69772905,15.3540175,11.45490454,18.29427083,Morrell Park/Violetville,14.22107304,67470845.99,44412.74513
38,Mount Washington/Coldspring,9.039548023,8.096085409,5.918727915,3.796376186,4.645048203,2.288732394,Mount Washington/Coldspring,2.491694352,56943058.65,38539.76615
39,North Baltimore/Guilford/Homeland,7.632700504,5.391432792,6.335549472,4.49725777,3.443223443,4.07239819,North Baltimore/Guilford/Homeland,3.971726691,74923987.69,42904.22214
40,Northwood,14.81829574,13.90166254,11.76900585,9.751037344,9.154013015,9.772423025,Northwood,22.02970297,52743271.77,38889.89459
41,Oldtown/Middle East,69.76336547,60.27157249,60.28531983,55.19508987,55.50863724,49.52755906,Oldtown/Middle East,48.55952794,24585968.23,23866.32818
42,Orangeville/East Highlandtown,21.81493071,24.08417771,21.85227708,22.48636009,18.71019108,13.4247714,Greektown/Bayview,8.211143695,89894372.21,47825.86293
43,Patterson Park North & East,39.72721997,42.45792315,37.15055574,40.90342679,50.31269543,55.01345895,Patterson Park North & East,49.44803959,14507643.2,21786.37466
44,Penn North/Reservoir Hill,47.18335127,42.54419677,40.45608108,46.64,42.60752688,38.38235294,Penn North/Reservoir Hill,29.53340403,41059796.68,29078.8385
45,Pimlico/Arlington/Hilltop,41.00268577,39.77951309,41.50085276,38.96024465,37.26415094,32.44990304,Pimlico/Arlington/Hilltop,30.08849558,30400962.01,24725.93407
46,Poppleton/The Terraces/Hollins Market,71.59716758,65.72327044,65.25423729,57.44530699,59.10509886,51.43104944,Poppleton/The Terraces/Hollins Market,63.63636364,9302012.999,12334.02753
47,Sandtown-Winchester/Harlem Park,51.97598799,59.82164974,54.81217439,56.7041654,58.75509017,61.07109302,Sandtown-Winchester/Harlem Park,60.48519737,23672092.87,20987.14331
48,South Baltimore,5.12465374,3.237858032,0.12300123,0.118906064,0.371287129,0,South Baltimore,0,46353935.43,68440.02583
49,Southeastern,53.25097529,51.58730159,51.50141643,52.89672544,45.88061174,42.32245681,Southeastern,26.28255722,111251478.5,102291.4805
50,Southern Park Heights,52.92580982,51.34541461,50.18015067,48.4901076,41.62698413,30.48993876,Southern Park Heights,19.97354497,27876227.59,24052.22137
51,Southwest Baltimore,54.96598639,50.53342042,48.02710243,49.22529313,45.77387486,50.90413674,Southwest Baltimore,55.53002011,37766068.84,28355.56358
52,The Waverlies,31.25,27.02508961,37.34015345,44.22403734,42.04671858,37.53598158,The Waverlies,46.48910412,20383750.54,18733.82688
53,Upton/Druid Heights,58.06357539,60.26282854,63.69386464,64.86312399,60.71188717,66.54571843,Upton/Druid Heights,69.81757877,16976622.34,19389.30782
54,Washington Village/Pigtown,30.50847458,36.73469388,42.67291911,34.24209378,28.03212851,38.11659193,Pigtown/Carroll Park,35.85951941,39343262.04,36962.26009
55,Westport/Mount Winans/Lakeland,46.8996063,40.28197382,38.50574713,40.18648019,44.81180061,43.19227231,Westport/Mount Winans/Lakeland,51.29533679,45494092.95,42573.12442