Claim Filed By:,Regular UI,PUA NEW,PUA (Reclassified)*,PEUC Claims,Week ending 
ALLEGANY,42,0,0,0,Jan 6
ANNE ARUNDEL,186,0,0,0,Jan 6
BALTIMORE,385,0,0,0,Jan 6
BALTIMORE CITY,332,0,0,0,Jan 6
CALVERT,33,0,0,0,Jan 6
CAROLINE,16,0,0,0,Jan 6
CARROLL,73,0,0,0,Jan 6
CECIL,41,0,0,0,Jan 6
CHARLES,78,0,0,0,Jan 6
DORCHESTER,23,0,0,0,Jan 6
FREDERICK,105,0,0,0,Jan 6
GARRETT,31,0,0,0,Jan 6
HARFORD,114,0,0,0,Jan 6
HOWARD,83,0,0,0,Jan 6
KENT,13,0,0,0,Jan 6
MONTGOMERY,231,0,0,0,Jan 6
NON-MARYLAND,257,0,0,0,Jan 6
PRINCE GEORGES,275,0,0,0,Jan 6
QUEEN ANNES,21,0,0,0,Jan 6
SOMERSET,9,0,0,0,Jan 6
ST MARYS,26,0,0,0,Jan 6
TALBOT,21,0,0,0,Jan 6
Unknown,40,0,0,0,Jan 6
WASHINGTON,60,0,0,0,Jan 6
WICOMICO,46,0,0,0,Jan 6
WORCESTER,84,0,0,0,Jan 6
ALLEGANY,42,0,0,0,Jan 13
ANNE ARUNDEL,202,0,0,0,Jan 13
BALTIMORE,446,0,0,0,Jan 13
BALTIMORE CITY,363,0,0,0,Jan 13
CALVERT,26,0,0,0,Jan 13
CAROLINE,27,0,0,0,Jan 13
CARROLL,72,0,0,0,Jan 13
CECIL,29,0,0,0,Jan 13
CHARLES,64,0,0,0,Jan 13
DORCHESTER,17,0,0,0,Jan 13
FREDERICK,95,0,0,0,Jan 13
GARRETT,36,0,0,0,Jan 13
HARFORD,136,0,0,0,Jan 13
HOWARD,95,0,0,0,Jan 13
KENT,11,0,0,0,Jan 13
MONTGOMERY,291,0,0,0,Jan 13
NON-MARYLAND,316,0,0,1,Jan 13
PRINCE GEORGES,335,0,0,0,Jan 13
QUEEN ANNES,18,0,0,0,Jan 13
SOMERSET,19,0,0,0,Jan 13
ST MARYS,26,0,0,0,Jan 13
TALBOT,18,0,0,0,Jan 13
Unknown,27,0,0,0,Jan 13
WASHINGTON,85,0,0,0,Jan 13
WICOMICO,55,0,0,0,Jan 13
WORCESTER,113,0,0,0,Jan 13
ALLEGANY,35,0,0,0,Jan 20
ANNE ARUNDEL,261,0,0,0,Jan 20
BALTIMORE,369,0,0,0,Jan 20
BALTIMORE CITY,299,0,0,0,Jan 20
CALVERT,31,0,0,0,Jan 20
CAROLINE,16,0,0,0,Jan 20
CARROLL,54,0,0,0,Jan 20
CECIL,54,0,0,0,Jan 20
CHARLES,50,0,0,0,Jan 20
DORCHESTER,23,0,0,0,Jan 20
FREDERICK,69,0,0,0,Jan 20
GARRETT,22,0,0,0,Jan 20
HARFORD,117,0,0,0,Jan 20
HOWARD,81,0,0,0,Jan 20
KENT,13,0,0,0,Jan 20
MONTGOMERY,235,0,0,0,Jan 20
NON-MARYLAND,232,0,0,0,Jan 20
PRINCE GEORGES,305,0,0,0,Jan 20
QUEEN ANNES,19,0,0,0,Jan 20
SOMERSET,20,0,0,0,Jan 20
ST MARYS,20,0,0,0,Jan 20
TALBOT,14,0,0,0,Jan 20
Unknown,28,0,0,0,Jan 20
WASHINGTON,70,0,0,0,Jan 20
WICOMICO,59,0,0,0,Jan 20
WORCESTER,65,0,0,0,Jan 20
ALLEGANY,31,0,0,0,Jan 27
ANNE ARUNDEL,197,0,0,0,Jan 27
BALTIMORE,449,0,0,0,Jan 27
BALTIMORE CITY,399,0,0,1,Jan 27
CALVERT,29,0,0,0,Jan 27
CAROLINE,10,0,0,0,Jan 27
CARROLL,75,0,0,0,Jan 27
CECIL,31,0,0,0,Jan 27
CHARLES,46,0,0,0,Jan 27
DORCHESTER,17,0,0,0,Jan 27
FREDERICK,92,0,0,0,Jan 27
GARRETT,11,0,0,0,Jan 27
HARFORD,119,0,0,0,Jan 27
HOWARD,95,0,0,0,Jan 27
KENT,8,0,0,0,Jan 27
MONTGOMERY,248,0,0,0,Jan 27
NON-MARYLAND,254,0,0,0,Jan 27
PRINCE GEORGES,331,0,0,0,Jan 27
QUEEN ANNES,12,0,0,0,Jan 27
SOMERSET,9,0,0,0,Jan 27
ST MARYS,10,0,0,0,Jan 27
TALBOT,15,0,0,0,Jan 27
Unknown,31,0,0,0,Jan 27
WASHINGTON,79,0,0,0,Jan 27
WICOMICO,54,0,0,0,Jan 27
WORCESTER,43,0,0,0,Jan 27
ALLEGANY,31,0,0,0,Feb 3
ANNE ARUNDEL,156,0,0,0,Feb 3
BALTIMORE,392,0,0,0,Feb 3
BALTIMORE CITY,337,0,0,1,Feb 3
CALVERT,28,0,0,0,Feb 3
CAROLINE,13,0,0,0,Feb 3
CARROLL,46,0,0,0,Feb 3
CECIL,35,0,0,0,Feb 3
CHARLES,47,0,0,0,Feb 3
DORCHESTER,17,0,0,0,Feb 3
FREDERICK,102,0,0,0,Feb 3
GARRETT,16,0,0,0,Feb 3
HARFORD,104,0,0,0,Feb 3
HOWARD,111,0,0,0,Feb 3
KENT,0,0,0,0,Feb 3
MONTGOMERY,260,0,0,0,Feb 3
NON-MARYLAND,288,0,0,0,Feb 3
PRINCE GEORGES,326,0,0,0,Feb 3
QUEEN ANNES,11,0,0,0,Feb 3
SOMERSET,3,0,0,0,Feb 3
ST MARYS,13,0,0,0,Feb 3
TALBOT,11,0,0,0,Feb 3
Unknown,23,0,0,0,Feb 3
WASHINGTON,116,0,0,0,Feb 3
WICOMICO,42,0,0,0,Feb 3
WORCESTER,39,0,0,0,Feb 3
ALLEGANY,28,0,0,0,Feb 10
ANNE ARUNDEL,188,0,0,0,Feb 10
BALTIMORE,367,0,0,0,Feb 10
BALTIMORE CITY,354,0,0,0,Feb 10
CALVERT,17,0,0,0,Feb 10
CAROLINE,11,0,0,0,Feb 10
CARROLL,55,0,0,0,Feb 10
CECIL,20,0,0,0,Feb 10
CHARLES,46,0,0,0,Feb 10
DORCHESTER,16,0,0,0,Feb 10
FREDERICK,104,0,0,0,Feb 10
GARRETT,11,0,0,0,Feb 10
HARFORD,111,0,0,0,Feb 10
HOWARD,80,0,0,0,Feb 10
KENT,5,0,0,0,Feb 10
MONTGOMERY,260,0,0,0,Feb 10
NON-MARYLAND,324,0,0,0,Feb 10
PRINCE GEORGES,325,0,0,0,Feb 10
QUEEN ANNES,20,0,0,0,Feb 10
SOMERSET,7,0,0,0,Feb 10
ST MARYS,20,0,0,0,Feb 10
TALBOT,14,0,0,0,Feb 10
Unknown,26,0,0,0,Feb 10
WASHINGTON,128,0,0,0,Feb 10
WICOMICO,34,0,0,0,Feb 10
WORCESTER,37,0,0,0,Feb 10
ALLEGANY,27,0,0,0,Feb 17
ANNE ARUNDEL,160,0,0,0,Feb 17
BALTIMORE,328,0,0,0,Feb 17
BALTIMORE CITY,302,0,0,1,Feb 17
CALVERT,16,0,0,0,Feb 17
CAROLINE,12,0,0,0,Feb 17
CARROLL,28,0,0,0,Feb 17
CECIL,37,0,0,0,Feb 17
CHARLES,41,0,0,0,Feb 17
DORCHESTER,14,0,0,0,Feb 17
FREDERICK,49,0,0,0,Feb 17
GARRETT,14,0,0,0,Feb 17
HARFORD,90,0,0,0,Feb 17
HOWARD,86,0,0,0,Feb 17
KENT,3,0,0,0,Feb 17
MONTGOMERY,255,0,0,0,Feb 17
NON-MARYLAND,215,0,0,0,Feb 17
PRINCE GEORGES,285,0,0,0,Feb 17
QUEEN ANNES,14,0,0,0,Feb 17
SOMERSET,7,0,0,0,Feb 17
ST MARYS,11,0,0,0,Feb 17
TALBOT,9,0,0,0,Feb 17
Unknown,23,0,0,0,Feb 17
WASHINGTON,73,0,0,0,Feb 17
WICOMICO,33,0,0,0,Feb 17
WORCESTER,34,0,0,0,Feb 17
ALLEGANY,19,0,0,0,Feb 24
ANNE ARUNDEL,130,0,0,0,Feb 24
BALTIMORE,340,0,0,0,Feb 24
BALTIMORE CITY,285,0,0,0,Feb 24
CALVERT,19,0,0,0,Feb 24
CAROLINE,5,0,0,0,Feb 24
CARROLL,36,0,0,0,Feb 24
CECIL,23,0,0,0,Feb 24
CHARLES,44,0,0,0,Feb 24
DORCHESTER,10,0,0,0,Feb 24
FREDERICK,56,0,0,0,Feb 24
GARRETT,8,0,0,0,Feb 24
HARFORD,70,0,0,0,Feb 24
HOWARD,90,0,0,0,Feb 24
KENT,5,0,0,0,Feb 24
MONTGOMERY,193,0,0,0,Feb 24
NON-MARYLAND,163,0,0,0,Feb 24
PRINCE GEORGES,261,0,0,0,Feb 24
QUEEN ANNES,10,0,0,0,Feb 24
SOMERSET,8,0,0,0,Feb 24
ST MARYS,15,0,0,0,Feb 24
TALBOT,8,0,0,0,Feb 24
Unknown,16,0,0,0,Feb 24
WASHINGTON,53,0,0,0,Feb 24
WICOMICO,35,0,0,0,Feb 24
WORCESTER,28,0,0,0,Feb 24
ALLEGANY,14,0,0,0,March 3
ANNE ARUNDEL,164,0,0,0,March 3
BALTIMORE,358,0,0,0,March 3
BALTIMORE CITY,280,0,0,0,March 3
CALVERT,30,0,0,0,March 3
CAROLINE,7,0,0,0,March 3
CARROLL,33,0,0,0,March 3
CECIL,25,0,0,0,March 3
CHARLES,51,0,0,0,March 3
DORCHESTER,12,0,0,0,March 3
FREDERICK,74,0,0,0,March 3
GARRETT,10,0,0,0,March 3
HARFORD,73,0,0,0,March 3
HOWARD,81,0,0,0,March 3
KENT,2,0,0,0,March 3
MONTGOMERY,232,0,0,1,March 3
NON-MARYLAND,163,0,0,1,March 3
PRINCE GEORGES,267,0,0,0,March 3
QUEEN ANNES,8,0,0,0,March 3
SOMERSET,8,0,0,0,March 3
ST MARYS,10,0,0,0,March 3
TALBOT,7,0,0,0,March 3
Unknown,15,0,0,0,March 3
WASHINGTON,42,0,0,0,March 3
WICOMICO,33,0,0,0,March 3
WORCESTER,21,0,0,0,March 3
ALLEGANY,20,0,0,0,March 9
ANNE ARUNDEL,172,0,0,0,March 9
BALTIMORE,344,0,0,0,March 9
BALTIMORE CITY,315,0,0,0,March 9
CALVERT,32,0,0,0,March 9
CAROLINE,6,0,0,0,March 9
CARROLL,32,0,0,0,March 9
CECIL,31,0,0,0,March 9
CHARLES,60,0,0,0,March 9
DORCHESTER,6,0,0,0,March 9
FREDERICK,81,0,0,0,March 9
GARRETT,7,0,0,0,March 9
HARFORD,76,0,0,0,March 9
HOWARD,89,0,0,0,March 9
KENT,5,0,0,0,March 9
MONTGOMERY,234,0,0,0,March 9
NON-MARYLAND,176,0,0,0,March 9
PRINCE GEORGES,278,0,0,0,March 9
QUEEN ANNES,10,0,0,0,March 9
SOMERSET,7,0,0,0,March 9
ST MARYS,14,0,0,0,March 9
TALBOT,5,0,0,0,March 9
Unknown,16,0,0,0,March 9
WASHINGTON,57,0,0,0,March 9
WICOMICO,33,0,0,0,March 9
WORCESTER,17,0,0,0,March 9
ALLEGANY,24,0,0,0,March 16
ANNE ARUNDEL,114,0,0,0,March 16
BALTIMORE,327,0,0,0,March 16
BALTIMORE CITY,313,0,0,0,March 16
CALVERT,19,0,0,0,March 16
CAROLINE,6,0,0,0,March 16
CARROLL,47,0,0,0,March 16
CECIL,28,0,0,0,March 16
CHARLES,46,0,0,0,March 16
DORCHESTER,15,0,0,0,March 16
FREDERICK,57,0,0,0,March 16
GARRETT,11,0,0,0,March 16
HARFORD,81,0,0,0,March 16
HOWARD,62,0,0,0,March 16
KENT,2,0,0,0,March 16
MONTGOMERY,218,0,0,0,March 16
NON-MARYLAND,151,0,0,0,March 16
PRINCE GEORGES,265,0,0,0,March 16
QUEEN ANNES,7,0,0,0,March 16
SOMERSET,3,0,0,0,March 16
ST MARYS,8,0,0,0,March 16
TALBOT,9,0,0,0,March 16
Unknown,18,0,0,0,March 16
WASHINGTON,46,0,0,0,March 16
WICOMICO,34,0,0,0,March 16
WORCESTER,10,0,0,0,March 16
ALLEGANY,29,0,0,0,March 23
ANNE ARUNDEL,120,0,0,1,March 23
BALTIMORE,325,0,0,0,March 23
BALTIMORE CITY,303,0,0,0,March 23
CALVERT,16,0,0,0,March 23
CAROLINE,17,0,0,0,March 23
CARROLL,37,0,0,0,March 23
CECIL,19,0,0,0,March 23
CHARLES,47,0,0,0,March 23
DORCHESTER,25,0,0,0,March 23
FREDERICK,64,0,0,0,March 23
GARRETT,5,0,0,0,March 23
HARFORD,77,0,0,0,March 23
HOWARD,95,0,0,0,March 23
KENT,10,0,0,0,March 23
MONTGOMERY,197,0,0,0,March 23
NON-MARYLAND,155,0,0,0,March 23
PRINCE GEORGES,247,0,0,0,March 23
QUEEN ANNES,11,0,0,0,March 23
SOMERSET,4,0,0,0,March 23
ST MARYS,15,0,0,0,March 23
TALBOT,39,0,0,0,March 23
Unknown,15,0,0,0,March 23
WASHINGTON,43,0,0,0,March 23
WICOMICO,32,0,0,0,March 23
WORCESTER,24,0,0,0,March 23
ALLEGANY,25,0,0,0,March 30
ANNE ARUNDEL,402,0,0,0,March 30
BALTIMORE,590,0,0,0,March 30
BALTIMORE CITY,477,0,0,0,March 30
CALVERT,69,0,0,0,March 30
CAROLINE,16,0,0,0,March 30
CARROLL,51,0,0,0,March 30
CECIL,28,0,0,0,March 30
CHARLES,124,0,0,0,March 30
DORCHESTER,12,0,0,0,March 30
FREDERICK,58,0,0,0,March 30
GARRETT,6,0,0,0,March 30
HARFORD,196,0,0,0,March 30
HOWARD,124,0,0,0,March 30
KENT,1,0,0,0,March 30
MONTGOMERY,186,1,0,0,March 30
NON-MARYLAND,197,0,0,0,March 30
PRINCE GEORGES,249,0,0,0,March 30
QUEEN ANNES,14,0,0,0,March 30
SOMERSET,3,0,0,0,March 30
ST MARYS,25,0,0,0,March 30
TALBOT,15,0,0,0,March 30
Unknown,37,0,0,0,March 30
WASHINGTON,54,0,0,0,March 30
WICOMICO,25,0,0,0,March 30
WORCESTER,15,0,0,0,March 30
ALLEGANY,27,0,0,0,April 6
ANNE ARUNDEL,240,0,0,0,April 6
BALTIMORE,490,0,0,0,April 6
BALTIMORE CITY,419,0,0,0,April 6
CALVERT,26,0,0,0,April 6
CAROLINE,13,0,0,0,April 6
CARROLL,45,0,0,0,April 6
CECIL,32,0,0,0,April 6
CHARLES,54,0,0,0,April 6
DORCHESTER,16,0,0,0,April 6
FREDERICK,92,0,0,0,April 6
GARRETT,23,0,0,0,April 6
HARFORD,119,0,0,0,April 6
HOWARD,100,0,0,0,April 6
KENT,2,0,0,0,April 6
MONTGOMERY,245,0,0,0,April 6
NON-MARYLAND,214,0,0,1,April 6
PRINCE GEORGES,249,0,0,0,April 6
QUEEN ANNES,25,0,0,0,April 6
SOMERSET,4,0,0,0,April 6
ST MARYS,12,0,0,0,April 6
TALBOT,11,0,0,0,April 6
Unknown,27,0,0,0,April 6
WASHINGTON,63,0,0,0,April 6
WICOMICO,30,0,0,0,April 6
WORCESTER,16,0,0,0,April 6
ALLEGANY,14,0,0,0,April 13
ANNE ARUNDEL,201,0,0,0,April 13
BALTIMORE,475,0,0,0,April 13
BALTIMORE CITY,354,0,0,0,April 13
CALVERT,24,0,0,0,April 13
CAROLINE,8,0,0,0,April 13
CARROLL,52,0,0,0,April 13
CECIL,24,0,0,0,April 13
CHARLES,48,0,0,0,April 13
DORCHESTER,9,0,0,0,April 13
FREDERICK,59,0,0,0,April 13
GARRETT,12,0,0,0,April 13
HARFORD,123,0,0,0,April 13
HOWARD,66,0,0,0,April 13
KENT,4,0,0,0,April 13
MONTGOMERY,242,0,0,0,April 13
NON-MARYLAND,171,0,0,0,April 13
PRINCE GEORGES,264,0,0,0,April 13
QUEEN ANNES,10,0,0,0,April 13
SOMERSET,9,0,0,0,April 13
ST MARYS,13,0,0,0,April 13
TALBOT,6,0,0,0,April 13
Unknown,16,0,0,0,April 13
WASHINGTON,47,0,0,0,April 13
WICOMICO,23,0,0,0,April 13
WORCESTER,17,0,0,0,April 13
ALLEGANY,21,0,0,0,April 20
ANNE ARUNDEL,150,0,0,0,April 20
BALTIMORE,356,0,0,0,April 20
BALTIMORE CITY,305,0,0,0,April 20
CALVERT,19,0,0,0,April 20
CAROLINE,6,0,0,0,April 20
CARROLL,40,0,0,0,April 20
CECIL,23,0,0,0,April 20
CHARLES,40,0,0,0,April 20
DORCHESTER,14,0,0,0,April 20
FREDERICK,81,0,0,0,April 20
GARRETT,8,0,0,0,April 20
HARFORD,80,0,0,0,April 20
HOWARD,83,0,0,0,April 20
KENT,5,0,0,0,April 20
MONTGOMERY,202,0,0,0,April 20
NON-MARYLAND,151,0,0,0,April 20
PRINCE GEORGES,247,0,0,0,April 20
QUEEN ANNES,11,0,0,0,April 20
SOMERSET,8,0,0,0,April 20
ST MARYS,7,0,0,0,April 20
TALBOT,7,0,0,0,April 20
Unknown,15,0,0,0,April 20
WASHINGTON,42,0,0,0,April 20
WICOMICO,38,0,0,0,April 20
WORCESTER,14,0,0,0,April 20
ALLEGANY,23,0,0,0,April 27
ANNE ARUNDEL,163,0,0,0,April 27
BALTIMORE,359,0,0,0,April 27
BALTIMORE CITY,291,0,0,0,April 27
CALVERT,17,0,0,0,April 27
CAROLINE,4,0,0,0,April 27
CARROLL,35,0,0,0,April 27
CECIL,22,0,0,0,April 27
CHARLES,41,0,0,0,April 27
DORCHESTER,7,0,0,0,April 27
FREDERICK,73,0,0,0,April 27
GARRETT,11,0,0,0,April 27
HARFORD,86,0,0,0,April 27
HOWARD,84,0,0,0,April 27
KENT,5,0,0,0,April 27
MONTGOMERY,226,0,0,0,April 27
NON-MARYLAND,141,0,0,0,April 27
PRINCE GEORGES,283,0,0,0,April 27
QUEEN ANNES,7,0,0,0,April 27
SOMERSET,4,0,0,0,April 27
ST MARYS,10,0,0,0,April 27
TALBOT,7,0,0,0,April 27
Unknown,18,0,0,0,April 27
WASHINGTON,37,0,0,0,April 27
WICOMICO,31,0,0,0,April 27
