Zip Code,Number of Claimants
7036,1
15435,2
15459,1
15522,1
15537,1
15554,1
15801,1
17011,1
17015,1
17032,1
17050,2
17055,2
17061,1
17222,2
17313,1
17314,5
17320,1
17321,1
17322,1
17331,7
17349,4
17356,1
17360,2
17361,4
17362,2
17363,1
17370,1
17402,2
17403,3
17404,2
17406,4
17408,1
17601,1
19140,1
19320,1
19701,1
19702,4
19734,2
19807,2
19808,1
19963,2
19966,1
19973,1
19977,1
20012,1
20017,1
20019,1
20020,1
20148,1
20169,1
20601,1
20602,1
20637,1
20646,1
20662,1
20705,4
20706,6
20707,4
20715,2
20716,1
20720,2
20721,3
20723,5
20724,6
20733,1
20735,1
20743,1
20745,1
20746,1
20747,2
20748,1
20751,2
20755,1
20759,1
20763,1
20772,4
20774,3
20781,2
20782,2
20783,1
20784,1
20794,4
20817,1
20832,1
20853,2
20855,1
20866,5
20874,2
20876,2
20877,1
20886,1
20903,2
20904,5
20910,1
21001,36
21009,46
21012,2
21013,2
21014,24
21015,23
21017,8
21022,1
21023,1
21028,1
21030,12
21034,1
21035,1
21037,1
21040,43
21042,6
21043,8
21044,10
21045,23
21046,3
21047,8
21048,5
21050,12
21052,4
21054,1
21057,6
21060,61
21061,50
21074,4
21075,13
21076,13
21078,13
21082,1
21084,7
21085,33
21087,5
21090,23
21093,9
21102,6
21108,6
21111,2
21113,2
21114,2
21117,49
21120,2
21122,163
21128,31
21131,1
21132,3
21133,54
21136,18
21144,26
21146,10
21154,4
21155,2
21156,1
21157,10
21158,4
21160,3
21161,3
21162,10
21163,4
21201,9
21202,16
21203,1
21204,7
21205,24
21206,164
21207,94
21208,29
21209,16
21210,3
21211,6
21212,29
21213,72
21214,40
21215,77
21216,50
21217,25
21218,51
21219,92
21220,114
21221,112
21222,283
21223,25
21224,97
21225,62
21226,14
21227,38
21228,44
21229,65
21230,64
21231,5
21234,99
21236,65
21237,102
21239,50
21244,65
21286,12
21401,1
21403,1
21409,1
21502,1
21532,1
21601,3
21617,12
21619,6
21620,5
21623,1
21629,1
21632,1
21635,1
21638,1
21639,1
21643,1
21649,2
21658,1
21660,1
21666,8
21668,1
21671,1
21702,1
21703,2
21722,2
21740,1
21741,1
21742,1
21750,2
21757,1
21766,1
21769,1
21774,1
21782,1
21784,11
21787,1
21788,1
21813,2
21901,6
21903,1
21904,5
21911,3
21918,1
21921,12
22041,1
22079,1
22150,1
22182,1
22191,1
22193,2
22554,1
22611,1
22980,1
23116,1
24153,1
25405,1
28504,1
30047,1
33414,1
34983,1
55408,1
98201,1