"","geoid","census_tract","county","x2010_total","x2010_white","x2010_black","x2010_hispanic","x2020_total","x2020_white","x2020_black","x2020_hispanic","Pct_White_2020","Pct_White_2010","White_Pct_Diff_2020"
"1","24510010100","Census Tract 101"," Baltimore city",3028,2857,115,287,3010,2627,198,117,87.28%,94.35%,-7.08%
"2","24510010200","Census Tract 102"," Baltimore city",3516,2770,539,716,3042,2707,81,97,88.99%,78.78%,10.20%
"3","24510010300","Census Tract 103"," Baltimore city",2002,1776,12,69,2341,2033,18,94,86.84%,88.71%,-1.87%
"4","24510010400","Census Tract 104"," Baltimore city",1900,1786,8,65,2920,2266,191,313,77.60%,94.00%,-16.40%
"5","24510010500","Census Tract 105"," Baltimore city",2252,1837,254,456,1919,1743,72,283,90.83%,81.57%,9.26%
"6","24510020100","Census Tract 201"," Baltimore city",2502,1810,374,772,1662,1265,222,186,76.11%,72.34%,3.77%
"7","24510020200","Census Tract 202"," Baltimore city",2187,1696,111,1072,1605,1187,221,178,73.96%,77.55%,-3.59%
"8","24510020300","Census Tract 203"," Baltimore city",3001,2357,202,143,3910,3007,364,419,76.91%,78.54%,-1.64%
"9","24510030100","Census Tract 301"," Baltimore city",2025,510,1475,86,2109,376,1678,132,17.83%,25.19%,-7.36%
"10","24510030200","Census Tract 302"," Baltimore city",2519,1109,1038,84,2659,1623,704,236,61.04%,44.03%,17.01%
"11","24510040100","Census Tract 401"," Baltimore city",2993,1793,324,173,4869,2456,1264,406,50.44%,59.91%,-9.46%
"12","24510040200","Census Tract 402"," Baltimore city",1419,684,411,43,1161,406,521,33,34.97%,48.20%,-13.23%
"13","24510060100","Census Tract 601"," Baltimore city",3128,1080,1966,400,2925,985,1365,606,33.68%,34.53%,-0.85%
"14","24510060200","Census Tract 602"," Baltimore city",2851,1263,1126,605,2973,1244,1428,308,41.84%,44.30%,-2.46%
"15","24510060300","Census Tract 603"," Baltimore city",1731,495,1170,133,1709,905,612,140,52.95%,28.60%,24.36%
"16","24510060400","Census Tract 604"," Baltimore city",1443,243,873,21,1875,612,949,57,32.64%,16.84%,15.80%
"17","24510070100","Census Tract 701"," Baltimore city",2645,53,2576,24,2569,73,2158,196,2.84%,2.00%,0.84%
"18","24510070200","Census Tract 702"," Baltimore city",3431,60,3191,263,3735,96,2989,381,2.57%,1.75%,0.82%
"19","24510070300","Census Tract 703"," Baltimore city",1163,37,1105,0,1133,45,963,95,3.97%,3.18%,0.79%
"20","24510070400","Census Tract 704"," Baltimore city",978,0,880,0,1622,141,1264,60,8.69%,0.00%,8.69%
"21","24510080101","Census Tract 801.01"," Baltimore city",3555,900,2327,181,4083,1215,2646,152,29.76%,25.32%,4.44%
"22","24510080102","Census Tract 801.02"," Baltimore city",2608,101,2471,0,2077,47,2023,6,2.26%,3.87%,-1.61%
"23","24510080200","Census Tract 802"," Baltimore city",1211,29,1150,0,796,61,735,0,7.66%,2.39%,5.27%
"24","24510080301","Census Tract 803.01"," Baltimore city",2007,0,1954,33,2171,50,1991,156,2.30%,0.00%,2.30%
"25","24510080302","Census Tract 803.02"," Baltimore city",3281,40,3232,18,2787,124,2581,43,4.45%,1.22%,3.23%
"26","24510080400","Census Tract 804"," Baltimore city",1226,10,1180,0,1045,122,917,0,11.67%,0.82%,10.86%
"27","24510080500","Census Tract 805"," Baltimore city",1819,45,1690,0,1320,16,1272,0,1.21%,2.47%,-1.26%
"28","24510080600","Census Tract 806"," Baltimore city",2456,0,2456,0,1558,144,1402,0,9.24%,0.00%,9.24%
"29","24510080700","Census Tract 807"," Baltimore city",1010,41,955,14,787,36,723,1,4.57%,4.06%,0.51%
"30","24510080800","Census Tract 808"," Baltimore city",1148,108,950,0,2317,83,2081,119,3.58%,9.41%,-5.83%
"31","24510090100","Census Tract 901"," Baltimore city",4843,714,4011,149,3804,454,3232,36,11.93%,14.74%,-2.81%
"32","24510090200","Census Tract 902"," Baltimore city",3166,643,2446,10,3191,554,2039,174,17.36%,20.31%,-2.95%
"33","24510090300","Census Tract 903"," Baltimore city",4506,769,3438,43,4432,872,3425,82,19.68%,17.07%,2.61%
"34","24510090400","Census Tract 904"," Baltimore city",1334,87,1233,0,1451,190,1145,200,13.09%,6.52%,6.57%
"35","24510090500","Census Tract 905"," Baltimore city",1935,274,1576,0,1685,297,1148,10,17.63%,14.16%,3.47%
"36","24510090600","Census Tract 906"," Baltimore city",3236,12,3145,0,2637,232,2385,5,8.80%,0.37%,8.43%
"37","24510090700","Census Tract 907"," Baltimore city",3649,33,3616,14,3053,20,2940,7,0.66%,0.90%,-0.25%
"38","24510090800","Census Tract 908"," Baltimore city",3973,169,3661,5,2430,84,2317,0,3.46%,4.25%,-0.80%
"39","24510090900","Census Tract 909"," Baltimore city",2795,0,2761,34,2500,49,2414,0,1.96%,0.00%,1.96%
"40","24510100100","Census Tract 1001"," Baltimore city",2183,20,2126,0,1694,70,1584,119,4.13%,0.92%,3.22%
"41","24510100200","Census Tract 1002"," Baltimore city",3696,79,3512,34,3118,121,2965,35,3.88%,2.14%,1.74%
"42","24510100300","Census Tract 1003"," Baltimore city",3754,516,3082,63,2404,485,1820,135,20.17%,13.75%,6.43%
"43","24510110100","Census Tract 1101"," Baltimore city",3089,1904,646,110,2860,1822,728,68,63.71%,61.64%,2.07%
"44","24510110200","Census Tract 1102"," Baltimore city",4790,2967,1225,198,6111,3432,1493,544,56.16%,61.94%,-5.78%
"45","24510120100","Census Tract 1201"," Baltimore city",4774,3369,236,143,4857,2746,789,350,56.54%,70.57%,-14.03%
"46","24510120201","Census Tract 1202.01"," Baltimore city",2280,1885,159,21,2162,1490,375,179,68.92%,82.68%,-13.76%
"47","24510120202","Census Tract 1202.02"," Baltimore city",6245,3634,874,352,5042,2777,591,383,55.08%,58.19%,-3.11%
"48","24510120300","Census Tract 1203"," Baltimore city",3205,1153,1990,50,4004,1437,2086,185,35.89%,35.98%,-0.09%
"49","24510120400","Census Tract 1204"," Baltimore city",1321,210,1039,83,1703,588,1074,62,34.53%,15.90%,18.63%
"50","24510120500","Census Tract 1205"," Baltimore city",2036,643,1252,23,2435,862,1229,98,35.40%,31.58%,3.82%
"51","24510120600","Census Tract 1206"," Baltimore city",2615,879,1257,218,2792,1227,1364,121,43.95%,33.61%,10.33%
"52","24510120700","Census Tract 1207"," Baltimore city",2190,1311,359,45,2007,1498,296,113,74.64%,59.86%,14.78%
"53","24510130100","Census Tract 1301"," Baltimore city",2919,113,2646,0,3393,308,2960,27,9.08%,3.87%,5.21%
"54","24510130200","Census Tract 1302"," Baltimore city",3188,232,2887,0,2588,514,1946,13,19.86%,7.28%,12.58%
"55","24510130300","Census Tract 1303"," Baltimore city",2621,193,2394,11,1963,134,1747,11,6.83%,7.36%,-0.54%
"56","24510130400","Census Tract 1304"," Baltimore city",1983,0,1899,14,1985,131,1764,106,6.60%,0.00%,6.60%
"57","24510130600","Census Tract 1306"," Baltimore city",4127,3432,251,61,3670,3294,158,67,89.75%,83.16%,6.60%
"58","24510130700","Census Tract 1307"," Baltimore city",5039,4292,580,131,4575,3825,420,184,83.61%,85.18%,-1.57%
"59","24510130803","Census Tract 1308.03"," Baltimore city",2717,1813,245,353,2263,1604,229,170,70.88%,66.73%,4.15%
"60","24510130804","Census Tract 1308.04"," Baltimore city",1828,1649,89,45,1741,1506,164,47,86.50%,90.21%,-3.71%
"61","24510130805","Census Tract 1308.05"," Baltimore city",1093,196,874,6,1147,115,838,13,10.03%,17.93%,-7.91%
"62","24510130806","Census Tract 1308.06"," Baltimore city",1450,1171,156,0,1588,1288,189,39,81.11%,80.76%,0.35%
"63","24510140100","Census Tract 1401"," Baltimore city",5116,2796,1613,53,4120,2196,1578,95,53.30%,54.65%,-1.35%
"64","24510140200","Census Tract 1402"," Baltimore city",2966,216,2725,54,2988,149,2741,0,4.99%,7.28%,-2.30%
"65","24510140300","Census Tract 1403"," Baltimore city",2498,157,2341,30,1731,131,1572,0,7.57%,6.29%,1.28%
"66","24510150100","Census Tract 1501"," Baltimore city",3209,0,3196,0,1912,80,1791,0,4.18%,0.00%,4.18%
"67","24510150200","Census Tract 1502"," Baltimore city",2208,0,2208,0,2451,0,2444,7,0.00%,0.00%,0.00%
"68","24510150300","Census Tract 1503"," Baltimore city",2904,10,2722,37,1583,20,1544,12,1.26%,0.34%,0.92%
"69","24510150400","Census Tract 1504"," Baltimore city",2745,67,2670,9,3789,48,3618,39,1.27%,2.44%,-1.17%
"70","24510150500","Census Tract 1505"," Baltimore city",2218,0,2139,0,1257,133,1124,107,10.58%,0.00%,10.58%
"71","24510150600","Census Tract 1506"," Baltimore city",3003,28,2864,0,2769,87,2640,10,3.14%,0.93%,2.21%
"72","24510150701","Census Tract 1507.01"," Baltimore city",1485,0,1478,0,1903,21,1882,10,1.10%,0.00%,1.10%
"73","24510150702","Census Tract 1507.02"," Baltimore city",2308,61,2233,14,1735,17,1677,14,0.98%,2.64%,-1.66%
"74","24510150800","Census Tract 1508"," Baltimore city",4550,55,4403,27,4175,25,4067,128,0.60%,1.21%,-0.61%
"75","24510150900","Census Tract 1509"," Baltimore city",3733,143,3567,32,2840,68,2670,35,2.39%,3.83%,-1.44%
"76","24510151000","Census Tract 1510"," Baltimore city",6208,66,6001,0,5354,217,5036,330,4.05%,1.06%,2.99%
"77","24510151100","Census Tract 1511"," Baltimore city",6612,92,6149,214,7512,185,6964,101,2.46%,1.39%,1.07%
"78","24510151200","Census Tract 1512"," Baltimore city",5170,127,4667,397,4141,286,3828,0,6.91%,2.46%,4.45%
"79","24510151300","Census Tract 1513"," Baltimore city",4854,0,4774,28,4519,110,4090,165,2.43%,0.00%,2.43%
"80","24510160100","Census Tract 1601"," Baltimore city",2499,28,2452,0,2161,83,1959,91,3.84%,1.12%,2.72%
"81","24510160200","Census Tract 1602"," Baltimore city",2615,0,2603,0,2236,56,2167,61,2.50%,0.00%,2.50%
"82","24510160300","Census Tract 1603"," Baltimore city",1931,13,1900,0,1374,52,1305,0,3.78%,0.67%,3.11%
"83","24510160400","Census Tract 1604"," Baltimore city",3360,38,3322,0,1651,11,1603,0,0.67%,1.13%,-0.46%
"84","24510160500","Census Tract 1605"," Baltimore city",3713,0,3668,35,3698,0,3643,0,0.00%,0.00%,0.00%
"85","24510160600","Census Tract 1606"," Baltimore city",3294,11,3144,135,2997,64,2824,50,2.14%,0.33%,1.80%
"86","24510160700","Census Tract 1607"," Baltimore city",5702,0,5665,0,3864,12,3806,0,0.31%,0.00%,0.31%
"87","24510160801","Census Tract 1608.01"," Baltimore city",3397,10,3296,0,3363,11,3167,94,0.33%,0.29%,0.03%
"88","24510160802","Census Tract 1608.02"," Baltimore city",3117,30,3059,0,3292,10,3264,16,0.30%,0.96%,-0.66%
"89","24510170100","Census Tract 1701"," Baltimore city",1791,350,1313,0,1803,463,1279,57,25.68%,19.54%,6.14%
"90","24510170200","Census Tract 1702"," Baltimore city",3635,139,3393,31,2074,196,1781,4,9.45%,3.82%,5.63%
"91","24510170300","Census Tract 1703"," Baltimore city",1780,34,1693,68,2143,20,2041,61,0.93%,1.91%,-0.98%
"92","24510180100","Census Tract 1801"," Baltimore city",2232,35,2122,0,NA,NA,NA,NA, NA,1.57%, NA
"93","24510180200","Census Tract 1802"," Baltimore city",1010,97,913,23,NA,NA,NA,NA, NA,9.60%, NA
"94","24510180300","Census Tract 1803"," Baltimore city",1690,671,948,61,1665,761,832,57,45.71%,39.70%,6.00%
"95","24510190100","Census Tract 1901"," Baltimore city",2174,136,1993,0,2444,165,2235,65,6.75%,6.26%,0.50%
"96","24510190200","Census Tract 1902"," Baltimore city",2067,991,1023,90,1679,547,903,173,32.58%,47.94%,-15.36%
"97","24510190300","Census Tract 1903"," Baltimore city",1745,596,1081,68,2047,618,1328,0,30.19%,34.15%,-3.96%
"98","24510200100","Census Tract 2001"," Baltimore city",2014,100,1821,62,1714,36,1660,34,2.10%,4.97%,-2.86%
"99","24510200200","Census Tract 2002"," Baltimore city",3017,122,2876,9,1841,96,1745,0,5.21%,4.04%,1.17%
"100","24510200300","Census Tract 2003"," Baltimore city",1795,613,1182,0,1071,298,553,0,27.82%,34.15%,-6.33%
"101","24510200400","Census Tract 2004"," Baltimore city",1691,11,1674,0,1419,83,1283,28,5.85%,0.65%,5.20%
"102","24510200500","Census Tract 2005"," Baltimore city",2915,1011,1651,56,2416,509,1429,334,21.07%,34.68%,-13.61%
"103","24510200600","Census Tract 2006"," Baltimore city",3145,1050,1979,63,2342,376,1845,105,16.05%,33.39%,-17.33%
"104","24510200701","Census Tract 2007.01"," Baltimore city",4292,70,4222,33,4240,54,4128,22,1.27%,1.63%,-0.36%
"105","24510200702","Census Tract 2007.02"," Baltimore city",1744,44,1700,0,1372,65,1307,0,4.74%,2.52%,2.21%
"106","24510200800","Census Tract 2008"," Baltimore city",2505,245,2221,0,2314,102,2102,75,4.41%,9.78%,-5.37%
"107","24510210100","Census Tract 2101"," Baltimore city",2045,1064,819,0,2370,770,1433,52,32.49%,52.03%,-19.54%
"108","24510210200","Census Tract 2102"," Baltimore city",3733,1026,2110,220,3744,1186,1900,455,31.68%,27.48%,4.19%
"109","24510220100","Census Tract 2201"," Baltimore city",3714,3146,251,101,4165,3160,485,103,75.87%,84.71%,-8.84%
"110","24510230100","Census Tract 2301"," Baltimore city",1935,1071,693,0,2109,1426,600,58,67.61%,55.35%,12.27%
"111","24510230200","Census Tract 2302"," Baltimore city",1774,1569,122,23,1701,1417,174,32,83.30%,88.44%,-5.14%
"112","24510230300","Census Tract 2303"," Baltimore city",1076,962,51,98,1270,1064,96,54,83.78%,89.41%,-5.63%
"113","24510240100","Census Tract 2401"," Baltimore city",2240,2082,62,29,3413,3020,88,149,88.49%,92.95%,-4.46%
"114","24510240200","Census Tract 2402"," Baltimore city",2655,2492,79,261,2634,2291,163,86,86.98%,93.86%,-6.88%
"115","24510240300","Census Tract 2403"," Baltimore city",1908,1712,61,98,1924,1540,95,61,80.04%,89.73%,-9.69%
"116","24510240400","Census Tract 2404"," Baltimore city",2222,2038,59,67,2942,2669,68,120,90.72%,91.72%,-1.00%
"117","24510250101","Census Tract 2501.01"," Baltimore city",3785,292,3478,15,4174,541,3445,95,12.96%,7.71%,5.25%
"118","24510250102","Census Tract 2501.02"," Baltimore city",2994,168,2771,0,3139,235,2849,103,7.49%,5.61%,1.88%
"119","24510250103","Census Tract 2501.03"," Baltimore city",4112,3053,618,176,3491,1849,1268,198,52.96%,74.25%,-21.28%
"120","24510250203","Census Tract 2502.03"," Baltimore city",2204,68,2110,14,1791,77,1704,18,4.30%,3.09%,1.21%
"121","24510250204","Census Tract 2502.04"," Baltimore city",4847,24,4682,27,4295,264,3970,164,6.15%,0.50%,5.65%
"122","24510250205","Census Tract 2502.05"," Baltimore city",4675,1913,2364,826,3594,927,1488,1216,25.79%,40.92%,-15.13%
"123","24510250206","Census Tract 2502.06"," Baltimore city",2653,2190,150,0,2050,1420,481,173,69.27%,82.55%,-13.28%
"124","24510250207","Census Tract 2502.07"," Baltimore city",1961,45,1861,0,2118,162,1845,182,7.65%,2.29%,5.35%
"125","24510250301","Census Tract 2503.01"," Baltimore city",2641,301,2280,0,2333,301,2023,91,12.90%,11.40%,1.50%
"126","24510250303","Census Tract 2503.03"," Baltimore city",2153,1889,215,190,2381,1482,555,112,62.24%,87.74%,-25.50%
"127","24510250401","Census Tract 2504.01"," Baltimore city",3344,2630,535,94,3889,2012,1111,918,51.74%,78.65%,-26.91%
"128","24510250402","Census Tract 2504.02"," Baltimore city",4774,1758,2487,378,3741,1065,2395,400,28.47%,36.82%,-8.36%
"129","24510250500","Census Tract 2505"," Baltimore city",4854,2781,1359,206,4561,2114,1822,503,46.35%,57.29%,-10.94%
"130","24510250600","Census Tract 2506"," Baltimore city",7,7,0,0,0,0,0,0,NaN,100.00%,NaN
"131","24510260101","Census Tract 2601.01"," Baltimore city",5007,1987,2953,11,5067,1194,3711,437,23.56%,39.68%,-16.12%
"132","24510260102","Census Tract 2601.02"," Baltimore city",4873,679,4169,0,4702,552,3955,164,11.74%,13.93%,-2.19%
"133","24510260201","Census Tract 2602.01"," Baltimore city",4864,936,3673,69,5735,947,4485,57,16.51%,19.24%,-2.73%
"134","24510260202","Census Tract 2602.02"," Baltimore city",5560,529,4881,85,6256,779,5103,150,12.45%,9.51%,2.94%
"135","24510260203","Census Tract 2602.03"," Baltimore city",2762,102,2628,98,3157,162,2803,4,5.13%,3.69%,1.44%
"136","24510260301","Census Tract 2603.01"," Baltimore city",4515,365,4061,36,4429,180,4090,15,4.06%,8.08%,-4.02%
"137","24510260302","Census Tract 2603.02"," Baltimore city",6542,538,5923,0,6618,309,6097,198,4.67%,8.22%,-3.55%
"138","24510260303","Census Tract 2603.03"," Baltimore city",575,270,296,50,1211,219,888,54,18.08%,46.96%,-28.87%
"139","24510260401","Census Tract 2604.01"," Baltimore city",3504,2464,156,736,3290,1747,615,1284,53.10%,70.32%,-17.22%
"140","24510260402","Census Tract 2604.02"," Baltimore city",2550,25,2248,0,3245,136,2931,26,4.19%,0.98%,3.21%
"141","24510260403","Census Tract 2604.03"," Baltimore city",2078,83,1995,0,1583,84,1499,0,5.31%,3.99%,1.31%
"142","24510260404","Census Tract 2604.04"," Baltimore city",1820,558,816,530,1987,854,225,1023,42.98%,30.66%,12.32%
"143","24510260501","Census Tract 2605.01"," Baltimore city",4413,3518,310,436,4788,3101,427,1731,64.77%,79.72%,-14.95%
"144","24510260604","Census Tract 2606.04"," Baltimore city",972,366,550,0,1488,214,1197,87,14.38%,37.65%,-23.27%
"145","24510260605","Census Tract 2606.05"," Baltimore city",5100,3804,723,1373,5980,4055,549,1984,67.81%,74.59%,-6.78%
"146","24510260700","Census Tract 2607"," Baltimore city",2306,1832,99,1096,2563,2046,48,619,79.83%,79.44%,0.38%
"147","24510260800","Census Tract 2608"," Baltimore city",2762,1706,868,875,2358,1579,350,804,66.96%,61.77%,5.20%
"148","24510260900","Census Tract 2609"," Baltimore city",2310,2095,90,101,3483,3005,126,258,86.28%,90.69%,-4.42%
"149","24510261000","Census Tract 2610"," Baltimore city",2725,901,866,1002,2437,1066,1094,373,43.74%,33.06%,10.68%
"150","24510261100","Census Tract 2611"," Baltimore city",1406,1333,32,0,1975,1564,130,127,79.19%,94.81%,-15.62%
"151","24510270101","Census Tract 2701.01"," Baltimore city",1828,907,812,61,1382,633,637,39,45.80%,49.62%,-3.81%
"152","24510270102","Census Tract 2701.02"," Baltimore city",3841,1126,2430,59,3887,738,2944,122,18.99%,29.32%,-10.33%
"153","24510270200","Census Tract 2702"," Baltimore city",1795,1216,519,0,1779,833,862,118,46.82%,67.74%,-20.92%
"154","24510270301","Census Tract 2703.01"," Baltimore city",3184,1027,1965,161,3347,1211,1920,138,36.18%,32.26%,3.93%
"155","24510270302","Census Tract 2703.02"," Baltimore city",1534,850,658,0,1959,966,855,154,49.31%,55.41%,-6.10%
"156","24510270401","Census Tract 2704.01"," Baltimore city",5373,1824,3508,126,4608,1212,3040,6,26.30%,33.95%,-7.65%
"157","24510270402","Census Tract 2704.02"," Baltimore city",3247,1593,1519,75,4163,1207,2778,171,28.99%,49.06%,-20.07%
"158","24510270501","Census Tract 2705.01"," Baltimore city",4431,3032,1289,275,4402,1998,2017,628,45.39%,68.43%,-23.04%
"159","24510270502","Census Tract 2705.02"," Baltimore city",4004,2139,1713,44,4144,1418,2621,78,34.22%,53.42%,-19.20%
"160","24510270600","Census Tract 2706"," Baltimore city",4724,1915,2630,14,4733,1823,2620,39,38.52%,40.54%,-2.02%
"161","24510270701","Census Tract 2707.01"," Baltimore city",2830,45,2614,110,1966,106,1850,31,5.39%,1.59%,3.80%
"162","24510270702","Census Tract 2707.02"," Baltimore city",2247,726,1521,0,2162,626,1358,51,28.95%,32.31%,-3.36%
"163","24510270703","Census Tract 2707.03"," Baltimore city",2681,1700,818,0,3313,1714,1518,76,51.74%,63.41%,-11.67%
"164","24510270801","Census Tract 2708.01"," Baltimore city",4645,596,3687,314,3614,519,2661,0,14.36%,12.83%,1.53%
"165","24510270802","Census Tract 2708.02"," Baltimore city",5019,182,4501,171,5971,207,5219,718,3.47%,3.63%,-0.16%
"166","24510270803","Census Tract 2708.03"," Baltimore city",5558,732,4606,237,5986,355,5392,39,5.93%,13.17%,-7.24%
"167","24510270804","Census Tract 2708.04"," Baltimore city",3009,1434,1428,63,2865,1361,1383,229,47.50%,47.66%,-0.15%
"168","24510270805","Census Tract 2708.05"," Baltimore city",4725,526,4059,44,5953,419,5249,107,7.04%,11.13%,-4.09%
"169","24510270901","Census Tract 2709.01"," Baltimore city",4435,56,4311,15,4652,198,4138,164,4.26%,1.26%,2.99%
"170","24510270902","Census Tract 2709.02"," Baltimore city",5361,217,5011,0,4927,311,4306,68,6.31%,4.05%,2.26%
"171","24510270903","Census Tract 2709.03"," Baltimore city",5720,427,5129,156,5261,1067,3877,520,20.28%,7.47%,12.82%
"172","24510271001","Census Tract 2710.01"," Baltimore city",2483,45,2386,0,2394,83,2119,142,3.47%,1.81%,1.65%
"173","24510271002","Census Tract 2710.02"," Baltimore city",4157,173,3952,110,3904,222,3649,154,5.69%,4.16%,1.52%
"174","24510271101","Census Tract 2711.01"," Baltimore city",2539,1502,876,182,2001,926,557,173,46.28%,59.16%,-12.88%
"175","24510271102","Census Tract 2711.02"," Baltimore city",3291,2679,432,235,5155,3191,1149,284,61.90%,81.40%,-19.50%
"176","24510271200","Census Tract 2712"," Baltimore city",6438,4849,1264,208,6281,4810,774,122,76.58%,75.32%,1.26%
"177","24510271300","Census Tract 2713"," Baltimore city",2842,2398,213,0,2792,1864,325,433,66.76%,84.38%,-17.62%
"178","24510271400","Census Tract 2714"," Baltimore city",3646,2814,448,93,4009,3138,176,541,78.27%,77.18%,1.09%
"179","24510271501","Census Tract 2715.01"," Baltimore city",3924,3459,294,104,4259,3195,828,221,75.02%,88.15%,-13.13%
"180","24510271503","Census Tract 2715.03"," Baltimore city",784,706,39,9,844,566,167,10,67.06%,90.05%,-22.99%
"181","24510271600","Census Tract 2716"," Baltimore city",4044,27,3968,73,4035,188,3666,25,4.66%,0.67%,3.99%
"182","24510271700","Census Tract 2717"," Baltimore city",5546,240,5119,54,4507,267,4123,22,5.92%,4.33%,1.60%
"183","24510271801","Census Tract 2718.01"," Baltimore city",3216,116,2920,126,2169,31,2035,33,1.43%,3.61%,-2.18%
"184","24510271802","Census Tract 2718.02"," Baltimore city",3293,0,3244,0,1885,18,1849,13,0.95%,0.00%,0.95%
"185","24510271900","Census Tract 2719"," Baltimore city",3784,817,2895,127,3681,756,2703,0,20.54%,21.59%,-1.05%
"186","24510272003","Census Tract 2720.03"," Baltimore city",5991,3883,2000,19,5862,3599,1766,177,61.40%,64.81%,-3.42%
"187","24510272004","Census Tract 2720.04"," Baltimore city",3643,2700,598,43,3857,2894,678,208,75.03%,74.11%,0.92%
"188","24510272005","Census Tract 2720.05"," Baltimore city",3584,2640,841,39,3208,2718,430,43,84.73%,73.66%,11.06%
"189","24510272006","Census Tract 2720.06"," Baltimore city",3767,2058,1657,75,3298,1526,1570,155,46.27%,54.63%,-8.36%
"190","24510272007","Census Tract 2720.07"," Baltimore city",3590,1439,1909,206,4093,1960,1871,312,47.89%,40.08%,7.80%
"191","24510280101","Census Tract 2801.01"," Baltimore city",3421,159,3110,118,3356,45,3119,162,1.34%,4.65%,-3.31%
"192","24510280102","Census Tract 2801.02"," Baltimore city",6496,157,6114,30,5831,174,5531,112,2.98%,2.42%,0.57%
"193","24510280200","Census Tract 2802"," Baltimore city",5113,141,4819,195,5722,223,5150,45,3.90%,2.76%,1.14%
"194","24510280301","Census Tract 2803.01"," Baltimore city",4106,372,3734,0,3986,509,3383,23,12.77%,9.06%,3.71%
"195","24510280302","Census Tract 2803.02"," Baltimore city",2264,38,2209,0,3980,100,3605,0,2.51%,1.68%,0.83%
"196","24510280401","Census Tract 2804.01"," Baltimore city",3735,486,3053,0,3312,532,2602,48,16.06%,13.01%,3.05%
"197","24510280402","Census Tract 2804.02"," Baltimore city",1826,57,1762,0,1283,1,1264,17,0.08%,3.12%,-3.04%
"198","24510280403","Census Tract 2804.03"," Baltimore city",5674,1617,3909,0,4739,1128,3467,20,23.80%,28.50%,-4.70%
"199","24510280404","Census Tract 2804.04"," Baltimore city",2216,63,2077,0,2615,173,2300,86,6.62%,2.84%,3.77%
"200","24510280500","Census Tract 2805"," Baltimore city",1712,32,1553,17,2851,180,2601,35,6.31%,1.87%,4.44%
"201","24510280600","Census Tract 2806"," Baltimore city",NA,NA,NA,NA,3137,90,2977,0,2.87%, NA, NA
